StationName,RouteNumbers,geometry
Кронштадтский бульв.,А65; А123; А698; А72; А139; А65К; А565; А594,POINT (37.49584482 55.84289574)
"Ул. Дыбенко, 6",А200; А594; А745; А958; А283; А673,POINT (37.48465472 55.86851809)
Интернат,А65; А345к; А173; А338; А270,POINT (37.46855178 55.87346894)
11-й автобусный парк - Киностудия,А65; А345к; А173; А338; А270,POINT (37.47087508 55.87122038)
"Смольная ул., 61",А65; А345к; А173; А338; А270,POINT (37.47291097 55.86924721)
Метро Беломорская,А345к; А173; А338; А270,POINT (37.47593628 55.86632944)
Смольная ул.,А233; А200; А857; А188; А745; А801; А284; А673,POINT (37.48635788 55.85832994)
"Фестивальная ул., 14",А233; А857; А594; А188; А284,POINT (37.49617308 55.86018085)
"Фестивальная ул., 65",А233; А857; А594; А188; А284,POINT (37.50113583 55.8609953)
Фестивальная ул.,А233; А857; А745; А594; А284,POINT (37.50360878 55.86189364)
"Фестивальная ул., 14",А233; А857; А745; А594; А284,POINT (37.49502105 55.86023665)
Метро Беломорская,А173; А338; А270,POINT (37.47572273 55.86691808)
"Смольная ул., 61",А173; А338; А270,POINT (37.47250317 55.87006376)
11-й автобусный парк - Киностудия,А173; А338; А270,POINT (37.47042618 55.87205598)
Фестивальная ул.,А65; А857; А188; А500; А65К; А565; А284,POINT (37.50674921 55.86280819)
"Зеленоградская ул., 21",А65; А188,POINT (37.4973747726 55.873851468)
Почта,А65; А188,POINT (37.49362797 55.8755477)
"Зеленоградская ул., 39",А65; А188,POINT (37.4892187714 55.8773550191)
"Зеленоградская ул., 39",А65; А745,POINT (37.4898772949 55.8768615866)
Почта,А65; А745,POINT (37.49462501 55.87495346)
"Зеленоградская ул., 21",А65; А745,POINT (37.4983597251 55.8729727395)
Б-ца - Библиотека им. Короленко,А857; А745; А284; А500,POINT (37.50768663 55.8636384)
"Фестивальная ул., 65",А233; А857; А745; А594; А284,POINT (37.49975463 55.86101472)
1-й Пехотный пер.,А105; А460; А800,POINT (37.47673416 55.80552919)
Сосновая ул.,А105; А800,POINT (37.47964794 55.80676444)
Детский сад,А105; А800,POINT (37.48400637 55.80634772)
1-й Волоколамский пр.,А105; А800,POINT (37.49033661 55.80305908)
Почта,А105; А800,POINT (37.49210035 55.80096192)
2-й Балтийский пер.,А105К; А110; А132,POINT (37.52396967 55.80644299)
Ленинградский рынок - К/т Баку,А105К; А110; А132,POINT (37.52821794 55.80531741)
4-я ул. 8-го Марта,А105К,POINT (37.54618946 55.80222889)
