address_new,quarters_count,geometry
"улица 8-го Марта 15, Москва, Россия, 125319",70,POINT (37.54982 55.80505)
"8-го Марта 1-я улица 3, Москва, Россия, 125167",1,POINT (37.55088 55.80198)
"8-го Марта 4-я улица 4 корп 1, Москва, Россия, 125167",98,POINT (37.54885 55.80341)
"8-го Марта 4-я улица 4 корп 2, Москва, Россия, 125167",101,POINT (37.54905 55.80298)
"8-го Марта 4-я улица 5, Москва, Россия, 125319",113,POINT (37.54907 55.8043)
"Абельмановская улица 3, Москва, Россия, 109147",67,POINT (37.67279 55.73753)
"Абельмановская улица 5, Москва, Россия, 109147",73,POINT (37.67228 55.7368)
"Абельмановская улица 6, Москва, Россия, 109147",183,POINT (37.66959 55.73558)
"Абельмановская улица 7, Москва, Россия, 109147",111,POINT (37.67183 55.73621)
"Абельмановская улица 11, Москва, Россия, 109147",133,POINT (37.67142 55.73534)
"Абрамцевская улица 1, Москва, Россия, 127576",391,POINT (37.57304 55.89278)
"Абрамцевская улица 2, Москва, Россия, 127576",191,POINT (37.57421 55.89227)
"Абрамцевская улица 2 корп 2, Москва, Россия, 127576",128,POINT (37.57629 55.89242)
"Абрамцевская улица 3, Москва, Россия, 127576",287,POINT (37.5731 55.89484)
"Абрамцевская улица 3А, Москва, Россия, 127576",215,POINT (37.57185 55.89385)
"Абрамцевская улица 3, Москва, Россия, 127576",287,POINT (37.5731 55.89484)
"Абрамцевская улица 3Б, Москва, Россия, 127576",214,POINT (37.57192 55.89525)
"Абрамцевская улица 4, Москва, Россия, 127576",80,POINT (37.57506 55.89323)
"Абрамцевская улица 4 корп 1, Москва, Россия, 127576",66,POINT (37.57646 55.8932)
"Абрамцевская улица 4 корп 2, Москва, Россия, 127576",54,POINT (37.57426 55.89313)
"Абрамцевская улица 5, Москва, Россия, 127576",381,POINT (37.57309 55.89691)
"Абрамцевская улица 6, Москва, Россия, 127576",191,POINT (37.57426 55.89393)
"Абрамцевская улица 7, Москва, Россия, 127572",186,POINT (37.57318 55.90287)
"Абрамцевская улица 8, Москва, Россия, 127576",109,POINT (37.57516 55.89467)
"Абрамцевская улица 8А, Москва, Россия, 127576",393,POINT (37.57636 55.89495)
"Абрамцевская улица 9 корп 1, Москва, Россия, 127572",550,POINT (37.57233 55.90417)
"Абрамцевская улица 9 корп 1, Москва, Россия, 127572",44,POINT (37.57233 55.90417)
"Абрамцевская улица 9 корп 2, Москва, Россия, 127572",111,POINT (37.56973 55.90367)
"Абрамцевская улица 9 корп 3, Москва, Россия, 127572",114,POINT (37.57054 55.90415)
"Абрамцевская улица 11 корп 1, Москва, Россия, 127572",659,POINT (37.56838 55.90394)
"Абрамцевская улица 11 корп 2, Москва, Россия, 127572",144,POINT (37.57024 55.90509)
"Абрамцевская улица 11 корп 3, Москва, Россия, 127572",186,POINT (37.57315 55.90558)
"Абрамцевская улица 12, Москва, Россия, 127576",475,POINT (37.57426 55.89683)
"Абрамцевская улица 14, Москва, Россия, 127572",475,POINT (37.57447 55.90017)
"Абрамцевская улица 14 корп 1, Москва, Россия, 127572",99,POINT (37.57489 55.9011)
"Абрамцевская улица 16Б, Москва, Россия, 127572",507,POINT (37.57659 55.90194)
"Абрамцевская улица 18, Москва, Россия, 127572",236,POINT (37.57448 55.9029)
"Абрамцевская улица 20, Москва, Россия, 127572",128,POINT (37.57477 55.90333)
"Абрамцевская улица 22, Москва, Россия, 127572",190,POINT (37.57573 55.90372)
"Абрамцевская улица 24, Москва, Россия, 127572",238,POINT (37.57461 55.90474)
"Абрамцевская улица 24 корп 1, Москва, Россия, 127572",238,POINT (37.5757 55.90543)
